Timestamp,Score,"Consent Form:                                                       DESCRIPTION: You are invited to participate in a research study on how different genres and tempos of music affect teenager’s emotions. Hopefully, based on the data, we can see what type of music at what tempo has the most positive/negative impact on teenager’s moods. You will be asked to listen to 15 20-to-30-seconds-long recordings of different music at different tempos and rate your mood after listening to each one.                                                                              TIME INVOLVEMENT: Your participation will take approximately 8-10 mins to finish the survey           RISKS AND BENEFITS: The risks associated with this study are none. Study data will be stored securely, minimizing the risk of confidentiality breach. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision of whether or not to participate in this study will not affect your grades in school.                                               PARTICIPANT’S RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. ",What is your current mood? (from a scale of 1~10 =   😩😔😞🙁😕😐🙂😊😀😃),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (PO),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (PS),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (PF),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (RO),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (RS),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (RF),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (RBO),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (RBS),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (RBF),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (HO),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (HS),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (HF),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (CO),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (CS),Please click the link below to listen to your audio. What's your mood after listening to the audio? (from a scale of 1~10 = 😩😔😞🙁😕😐🙂😊😀😃) (CF),Age,Please check one or more of the following groups in which you consider yourself to be a member,Gender
4/23/2022 21:30:42,,I consent,😊 (8),😀 (9),😊 (8),😊 (8),😐 (6),😐 (6),😐 (6),🙂 (7),😀 (9),🙂 (7),😃 (10),🙂 (7),😊 (8),😐 (6),😐 (6),😐 (6),16,White,Female
4/23/2022 23:12:11,,I consent,😀 (9),😊 (8),🙂 (7),😊 (8),😊 (8),😐 (6),😊 (8),🙂 (7),😐 (6),😐 (6),😊 (8),😐 (6),😊 (8),😊 (8),🙂 (7),🙂 (7),16,American Indian or Alaska Native,Male
4/23/2022 23:14:31,,I consent,🙁 (4),🙂 (7),😕 (5),😐 (6),😐 (6),🙁 (4),😐 (6),🙁 (4),😔 (2),😞 (3),😊 (8),😔 (2),😊 (8),😕 (5),😕 (5),🙂 (7),17,Asian,Male
4/23/2022 23:18:28,,I consent,😊 (8),😊 (8),😕 (5),😐 (6),😀 (9),🙁 (4),😀 (9),🙂 (7),😐 (6),😊 (8),😊 (8),😐 (6),😐 (6),🙂 (7),😊 (8),😀 (9),17,"American Indian or Alaska Native, White",Prefer not to answer
4/23/2022 23:23:21,,I consent,🙂 (7),😀 (9),😀 (9),😃 (10),😊 (8),😊 (8),😀 (9),😊 (8),😞 (3),😀 (9),😐 (6),😐 (6),😕 (5),😕 (5),🙁 (4),😕 (5),17,Asian,Male
4/23/2022 23:27:37,,I consent,😐 (6),😊 (8),🙂 (7),🙂 (7),😊 (8),😊 (8),😃 (10),🙂 (7),😕 (5),😊 (8),🙂 (7),😕 (5),🙂 (7),😕 (5),😀 (9),🙂 (7),16,Asian,Male
4/24/2022 0:20:46,,I consent,🙂 (7),😊 (8),😐 (6),😐 (6),😕 (5),😕 (5),😐 (6),🙂 (7),😐 (6),🙂 (7),🙂 (7),😐 (6),😐 (6),🙂 (7),😊 (8),🙂 (7),16,Asian,Male
4/24/2022 0:51:13,,I consent,😊 (8),🙂 (7),😀 (9),😀 (9),😊 (8),🙂 (7),🙂 (7),😊 (8),🙂 (7),😀 (9),😊 (8),😊 (8),🙂 (7),🙂 (7),😀 (9),😊 (8),17,Asian,Female
4/24/2022 7:03:33,,I consent,😞 (3),😐 (6),😕 (5),🙁 (4),😔 (2),😩 (1),😔 (2),😔 (2),🙁 (4),😞 (3),😞 (3),🙁 (4),😞 (3),😐 (6),🙂 (7),😕 (5),16,Asian,Male
4/24/2022 7:25:35,,I consent,😞 (3),🙂 (7),😐 (6),😊 (8),😔 (2),😔 (2),😞 (3),😕 (5),😕 (5),😕 (5),🙁 (4),🙁 (4),🙁 (4),🙂 (7),😐 (6),😐 (6),17,Asian,Male
4/24/2022 9:59:58,,I consent,😕 (5),😞 (3),😞 (3),😞 (3),🙁 (4),😩 (1),😩 (1),🙁 (4),😩 (1),🙁 (4),😞 (3),😞 (3),🙁 (4),😐 (6),😃 (10),🙂 (7),16,Asian,Female
4/28/2022 7:05:49,,I consent,🙂 (7),😊 (8),😐 (6),🙂 (7),😕 (5),😐 (6),😕 (5),🙂 (7),😐 (6),🙂 (7),🙂 (7),😐 (6),🙂 (7),😐 (6),🙂 (7),😊 (8),17,Asian,Female
